MID,Zone,code,Ext,ชื่อ คลินิก/ โรงพยาบาลสัตว์ / ร้านค้า,แขวง/ตำบล,เขต/อำเภอ,จังหวัด,ID,User,Stock
54,CP1,814418,4,มนูญ เพ็ทช็อป สาขาธารา อเวนิว รังสิตคลอง 3,บึงยี่โถ,ธัญบุรี,ปทุมธานี,814418004,814418-4,500
55,CP1,814418,5,มนูญเพ็ทช็อป สาขาลาดพร้าว71,ลาดพร้าว,ลาดพร้าว,กรุงเทพมหานคร,814418005,814418-5,500
56,CP1,814418,6,มนูญเพ็ทช็อป สาขาดอนเมือง,สีกัน ,ดอนเมือง,กรุงเทพมหานคร,814418006,814418-6,500
57,CP1,814418,7,มนูญเพ็ทช็อป สาขาเซียร์รังสิต,คูคต,ลำลูกกา,ปทุมธานี,814418007,814418-7,500
58,CP1,814418,8,มนูญ เพ็ท ช็อป สาขา ประชานิเวศน์, แขวงลาดยาว,เขตจตุจักร,กรุงเทพมหานคร,814418008,814418-8,500
59,CP1,814418,9,มนูญ เพ็ท ช็อป สาขารามอินทรา,แขวงคันนายาว,เขตคันนายาว,กรุงเทพมหานคร,814418009,814418-9,500
60,CP1,814418,10,มนูญ เพ็ท ช็อป สาขาลาดพร้าว 101,แขวงคลองจั่น,เขตบางกะปิ,กรุงเทพมหานคร,814418010,814418-10,500
61,CP2,814362,1,Little spider & friends สาขาเมกะบางนา,บางแก้ว,บางพลี,สมุทรปราการ,814362001,814362-1,500
62,CP2,814362,2,Little spider & friends สาขามหิดล1,ศาลายา,พุทธมณฑล,นครปฐม,814362002,814362-2,500
63,CP2,814362,3,Little spider & friends สาขามหิดล2,ศาลายา,พุทธมณฑล,นครปฐม,814362003,814362-3,500
64,CP2,814362,4,Little spider & friends สาขามหิดล3,ศาลายา,พุทธมณฑล,นครปฐม,814362004,814362-4,500
